timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-27 07:00:00-04:00,34,4,33,84.10123679095553,84.24326044540861,72.25854435076235,33.40122038598491,-1.7611165118090983,11.755324976309453,90.0
2003-04-27 08:00:00-04:00,227,348,115,71.37247136261769,71.42092039844192,65.170211759187,225.87740387368663,-0.4945357384640389,63.758623766935976,90.0
2003-04-27 09:00:00-04:00,452,563,165,59.393717247225695,59.42164988566505,56.06084017903805,451.4071856359174,-0.13115362037225334,54.51023594505157,90.0
2003-04-27 10:00:00-04:00,639,801,110,48.85997549319624,48.878950244120254,43.6082042438685,636.7792930350711,-0.34752847651469837,38.29216982614392,90.0
2003-04-27 11:00:00-04:00,759,843,121,40.93694436446018,40.95133576548602,26.213954833149955,757.6896868167967,-0.1726367830307423,20.963458904137553,90.0
2003-04-27 12:00:00-04:00,807,875,109,37.34108072986954,37.3537419894247,3.75504846895484,804.5416380902096,-0.30462972859855875,2.860408315358285,90.0
2003-04-27 13:00:00-04:00,779,864,108,39.28419015132351,39.297764587569816,340.37462126653395,776.6192914733567,-0.3056108506602407,15.362971317893411,270.0
2003-04-27 14:00:00-04:00,680,812,114,46.06842961130478,46.08564329091601,321.2754276935439,677.1888733367896,-0.41340097988388474,32.99786000561311,270.0
2003-04-27 15:00:00-04:00,517,744,98,55.95215233036301,55.97663930707419,307.4664118689818,514.2909695241106,-0.5239904208683653,49.59062290169944,270.0
2003-04-27 16:00:00-04:00,306,541,99,67.57392374925524,67.6137167361225,297.501440958214,305.03932364506136,-0.31394652122177824,65.0483940594083,270.0
2003-04-27 17:00:00-04:00,91,178,60,80.13826994947654,80.22867226933919,289.9169683075072,90.20951112413425,-0.8686690943579646,20.821602067766804,270.0
2003-04-27 18:00:00-04:00,2,0,2,93.40982654436137,93.40982654436137,283.7127200632703,2.0,0.0,,
2003-04-27 19:00:00-04:00,0,0,0,106.92469552505138,106.92469552505138,278.20253814183764,0.0,,,
2003-04-27 20:00:00-04:00,0,0,0,120.62471244747823,120.62471244747823,272.80645469526957,0.0,,,
2003-04-27 21:00:00-04:00,0,0,0,134.38702345577016,134.38702345577016,266.79113660069294,0.0,,,
2003-04-27 22:00:00-04:00,0,0,0,148.0419616137716,148.0419616137716,258.63502440156867,0.0,,,
2003-04-27 23:00:00-04:00,0,0,0,161.09857942755818,161.09857942755818,243.13731715425828,0.0,,,
2003-04-28 00:00:00-04:00,0,0,0,170.32735066606654,170.32735066606654,193.55581958262124,0.0,,,
2003-04-28 01:00:00-04:00,0,0,0,164.76634826546228,164.76634826546228,125.8879758284724,0.0,,,
2003-04-28 02:00:00-04:00,0,0,0,152.22098048176292,152.22098048176292,104.80172870133049,0.0,,,
2003-04-28 03:00:00-04:00,0,0,0,138.67046978217888,138.67046978217888,95.28489644946933,0.0,,,
2003-04-28 04:00:00-04:00,0,0,0,124.92551098259554,124.92551098259554,88.83046438734499,0.0,,,
2003-04-28 05:00:00-04:00,0,0,0,111.20358534895375,111.20358534895375,83.32647430455677,0.0,,,
2003-04-28 06:00:00-04:00,0,0,0,97.63245444874094,97.63245444874094,77.89945618559943,0.0,,,
2003-04-28 07:00:00-04:00,37,30,34,84.20438343004204,84.348488126448,71.95549603755666,36.954328635505,-0.1234361202567567,11.56120427933611,90.0
2003-04-28 08:00:00-04:00,231,328,127,71.503904227388,71.55271072502892,64.86360505632689,230.78972471006438,-0.09102826404139536,61.73537801129555,90.0
2003-04-28 09:00:00-04:00,446,612,134,59.56186554022594,59.58998392291587,55.74630561417791,443.78493569027484,-0.4966511905213374,54.59122385378632,90.0
2003-04-28 10:00:00-04:00,623,733,141,49.07659341998589,49.09571283833424,43.29824846243707,620.9664712466326,-0.3264091096897855,38.34581003450365,90.0
2003-04-28 11:00:00-04:00,746,780,157,41.209512906136105,41.224042895085255,25.962960308860033,743.6679818957097,-0.31260296304160073,20.97605439814629,90.0
2003-04-28 12:00:00-04:00,798,859,115,37.6545560709177,37.667361424757964,3.6633833094493866,794.9601429721372,-0.38093446464446223,2.8225348898444906,90.0
2003-04-28 13:00:00-04:00,775,863,107,39.5955745913213,39.60929998220874,340.4779401699715,771.8636306070658,-0.4046928248947317,15.451107736866518,270.0
2003-04-28 14:00:00-04:00,664,761,136,46.34489758034172,46.36227766848592,321.493221398305,661.163188187806,-0.4272306946075322,33.12622474684213,270.0
2003-04-28 15:00:00-04:00,483,612,141,56.18829971967968,56.213003566681174,307.7227975755976,481.3374870909552,-0.34420557123080303,49.744797914861834,270.0
